,year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
25,1976,AE,AE,25.942709,2.2655213,26.917786,14.031917,United Arab Emirates,ARE,25.134938683735907,43632.62255385502,124551.1898,0.838720977,526000000.0,49600000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
26,2005,AE,AE,27.804285,0.8567714,26.917786,14.031917,United Arab Emirates,ARE,,,65857.46248,2.25483489,10000000000.0,136000000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
27,1982,AE,AE,26.075714,2.1675856,26.917786,14.031917,United Arab Emirates,ARE,22.13545038560793,36678.1120978396,112847.7763,0.989157319,1180000000.0,80800000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
28,1961,AE,AE,26.065744,1.0638322,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
29,1974,AE,AE,25.86765,1.2457322,26.917786,14.031917,United Arab Emirates,ARE,14.243739995158688,38427.784582529384,145100.5572,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
30,1952,AE,AE,27.226072,1.8083358,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
31,1962,AE,AE,26.122679,1.1278607,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
32,1979,AE,AE,27.245237,1.7776964,26.917786,14.031917,United Arab Emirates,ARE,26.579780615963333,42141.138269119256,113485.0285,0.841615558,802000000.0,72200000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
33,1978,AE,AE,27.445238,0.9095357,26.917786,14.031917,United Arab Emirates,ARE,30.869430960402756,38130.787823286315,103162.343,0.985800564,711000000.0,55200000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
34,1983,AE,AE,26.1611,1.0689428,26.917786,14.031917,United Arab Emirates,ARE,24.252231095985714,31561.80602085703,100974.633,1.139606476,1350000000.0,72400000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
35,1997,AE,AE,26.60622,2.0550287,26.917786,14.031917,United Arab Emirates,ARE,20.361348168964348,28793.693877078575,67098.04018,3.226872921,5980000000.0,93400000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
36,1991,AE,AE,26.152977,1.2973107,26.917786,14.031917,United Arab Emirates,ARE,16.84222248916384,24633.290899088734,71079.76888,2.029873848,2940000000.0,76900000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
37,1977,AE,AE,28.611904,1.6539322,26.917786,14.031917,United Arab Emirates,ARE,31.82197522585964,44557.964806162476,123282.3962,0.768448412,617000000.0,56400000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
38,1970,AE,AE,26.225595,1.5209107,26.917786,14.031917,United Arab Emirates,ARE,18.804645849791115,9755.944377242882,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
39,1959,AE,AE,26.464613,1.6613785,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
40,1953,AE,AE,27.336548,1.5036215,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
41,1956,AE,AE,26.919197,1.1878536,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
42,1973,AE,AE,26.055714,1.4582608,26.917786,14.031917,United Arab Emirates,ARE,23.036129081275956,15219.560688584485,151758.8526,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
43,1989,AE,AE,26.13744,0.68506074,26.917786,14.031917,United Arab Emirates,ARE,17.795081055843394,22002.906034124764,67476.80546,1.847897291,2220000000.0,62100000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
44,1960,AE,AE,26.098244,1.1096892,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
45,1951,AE,AE,27.072828,1.48,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
46,1968,AE,AE,25.65488,1.2799071,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
47,1967,AE,AE,25.88116,1.0734357,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
